bairro,microrregiao
Recife,1
Santo Amaro,1
Boa Vista,1
Cabanga,1
Ilha Do Leite,1
Paissandu,1
Santo Antonio,1
Sao Jose,1
Soledade,1
Coelhos,1
Ilha Joana Bezerra,1
Arruda,2
Campina Do Barreto,2
Campo Grande,2
Encruzilhada,2
Hipodromo,2
Peixinhos,2
Ponto De Parada,2
Rosarinho,2
Torreao,2
Agua Fria,2
Alto Santa Teresinha,2
Bomba Do Hemeterio,2
Cajueiro,2
Fundao,2
Porto Da Madeira,2
Beberibe,2
Dois Unidos,2
Linha Do Tiro,2
Aflitos,3.1
Alto Do Mandu,3.1
Apipucos,3.1
Casa Amarela,3.1
Casa Forte,3.1
Derby,3.1
Dois Irmaos,3.1
Espinheiro,3.1
Gracas,3.1
Jaqueira,3.1
Monteiro,3.1
Parnamirim,3.1
Poco,3.1
Santana,3.1
Sitio Dos Pintos,3.1
Tamarineira,3.1
Alto Jose Bonifacio,3.2
Alto Jose Do Pinho,3.2
Mangabeira,3.2
Morro Da Conceicao,3.2
Vasco Da Gama,3.2
Brejo Da Guabiraba,3.3
Brejo De Beberibe,3.3
Corrego Do Jenipapo,3.3
Guabiraba,3.3
Macaxeira,3.3
Nova Descoberta,3.3
Passarinho,3.3
Pau-Ferro,3.3
Cordeiro,4
Ilha Do Retiro,4
Iputinga,4
Madalena,4
Prado,4
Torre,4
Zumbi,4
Engenho Do Meio,4
Torroes,4
Caxanga,4
Cidade Universitaria,4
Varzea,4
Afogados,5
Bongi,5
Mangueira,5
Mustardinha,5
San Martin,5
Areias,5
Cacote,5
Estancia,5
Jiquia,5
Barro,5
Coqueiral,5
Curado,5
Jardim Sao Paulo,5
Sancho,5
Tejipio,5
Toto,5
Boa Viagem,6
Brasilia Teimosa,6
Imbiribeira,6
Ipsep,6
Pina,6
Ibura,6
Jordao,6
Cohab,6
